openInterest,timestamp
15863.152,1640995200000
15816.066,1640996100000
15814.643,1640997000000
15780.409,1640997900000
15825.017,1640998800000
15796.59,1640999700000
15738.071,1641000600000
15784.462,1641001500000
15836.245,1641002400000
15854.864,1641003300000
15931.842,1641004200000
15978.493,1641005100000
15991.576,1641006000000
15995.231,1641006900000
16092.666,1641007800000
16097.037,1641008700000
16107.55,1641009600000
16027.178,1641010500000
16127.663,1641011400000
16160.532,1641012300000
16145.78,1641013200000
16158.333,1641014100000
15661.391,1641015000000
15664.011,1641015900000
15720.309,1641016800000
15611.509,1641017700000
15634.377,1641018600000
15564.523,1641019500000
15457.808,1641020400000
15470.573,1641021300000
15508.289,1641022200000
15532.871,1641023100000
15503.987,1641024000000
15599.439,1641024900000
15568.971,1641025800000
15630.787,1641026700000
15595.95,1641027600000
15620.69,1641028500000
15937.564,1641029400000
15859.799,1641030300000
15880.124,1641031200000
15862.725,1641032100000
15650.03,1641033000000
15551.811,1641033900000
15633.208,1641034800000
15661.032,1641035700000
15678.156,1641036600000
15778.538,1641037500000
15814.345,1641038400000
15779.428,1641039300000
15848.969,1641040200000
15824.289,1641041100000
15889.087,1641042000000
15917.461,1641042900000
15754.507,1641043800000
15817.822,1641044700000
15806.466,1641045600000
15820.988,1641046500000
15814.833,1641047400000
15814.652,1641048300000
15861.011,1641049200000
15908.417,1641050100000
15861.102,1641051000000
15819.777,1641051900000
15760.121,1641052800000
15831.744,1641053700000
15809.201,1641054600000
15800.441,1641055500000
15849.222,1641056400000
15818.802,1641057300000
15809.804,1641058200000
15636.257,1641059100000
15803.869,1641060000000
15867.927,1641060900000
15857.896,1641061800000
15776.932,1641062700000
15735.674,1641063600000
15667.942,1641064500000
15639.212,1641065400000
15585.0,1641066300000
15571.394,1641067200000
15558.594,1641068100000
15521.889,1641069000000
15490.168,1641069900000
15444.503,1641070800000
15462.738,1641071700000
15503.615,1641072600000
15541.606,1641073500000
15471.557,1641074400000
15442.678,1641075300000
15398.175,1641076200000
15444.772,1641077100000
15474.644,1641078000000
15509.135,1641078900000
15489.267,1641079800000
15594.203,1641080700000
15636.474,1641081600000
15604.814,1641082500000
15669.121,1641083400000
15666.936,1641084300000
15769.046,1641085200000
15734.856,1641086100000
15689.717,1641087000000
15667.622,1641087900000
15721.549,1641088800000
15703.941,1641089700000
15777.612,1641090600000
15780.912,1641091500000
15770.591,1641092400000
15837.079,1641093300000
15875.484,1641094200000
15872.214,1641095100000
15919.511,1641096000000
15934.128,1641096900000
15926.012,1641097800000
15594.599,1641098700000
15615.391,1641099600000
15618.115,1641100500000
15740.164,1641101400000
15732.617,1641102300000
15773.001,1641103200000
15692.038,1641104100000
15720.689,1641105000000
15716.182,1641105900000
15773.506,1641106800000
15735.484,1641107700000
15760.729,1641108600000
15895.838,1641109500000
15883.911,1641110400000
15886.753,1641111300000
15964.018,1641112200000
15953.653,1641113100000
15949.529,1641114000000
15962.214,1641114900000
15741.971,1641115800000
15775.343,1641116700000
15741.77,1641117600000
15803.069,1641118500000
15810.61,1641119400000
15810.799,1641120300000
15762.711,1641121200000
15838.263,1641122100000
15844.612,1641123000000
15881.473,1641123900000
15906.022,1641124800000
15819.346,1641125700000
15964.393,1641126600000
15986.28,1641127500000
16032.526,1641128400000
15864.297,1641129300000
15759.136,1641130200000
15867.607,1641131100000
15931.318,1641132000000
15947.931,1641132900000
15950.611,1641133800000
15927.912,1641134700000
15929.792,1641135600000
15897.215,1641136500000
15923.25,1641137400000
15932.238,1641138300000
15962.603,1641139200000
16026.128,1641140100000
15988.843,1641141000000
15898.481,1641141900000
15949.572,1641142800000
15905.666,1641143700000
15837.867,1641144600000
15844.429,1641145500000
15817.143,1641146400000
15587.172,1641147300000
15398.112,1641148200000
15390.863,1641149100000
15494.298,1641150000000
15430.053,1641150900000
15465.665,1641151800000
15470.414,1641152700000
15501.487,1641153600000
15428.127,1641154500000
15408.218,1641155400000
15410.792,1641156300000
15376.722,1641157200000
15406.14,1641158100000
15426.42,1641159000000
15401.874,1641159900000
15391.563,1641160800000
15384.868,1641161700000
15425.534,1641162600000
15244.67,1641163500000
15286.924,1641164400000
15311.063,1641165300000
15299.52,1641166200000
15374.932,1641167100000
15370.184,1641168000000
15376.712,1641168900000
15348.727,1641169800000
15350.015,1641170700000
15361.98,1641171600000
15425.794,1641172500000
15473.129,1641173400000
15503.74,1641174300000
15588.96,1641175200000
15669.101,1641176100000
15749.903,1641177000000
15840.269,1641177900000
15944.729,1641178800000
15944.031,1641179700000
16020.183,1641180600000
16044.413,1641181500000
16152.864,1641182400000
16222.122,1641183300000
16280.852,1641184200000
16299.644,1641185100000
16380.768,1641186000000
16405.909,1641186900000
16401.614,1641187800000
16250.824,1641188700000
16234.95,1641189600000
16205.205,1641190500000
16254.839,1641191400000
16311.739,1641192300000
16291.971,1641193200000
16286.045,1641194100000
16315.688,1641195000000
16322.201,1641195900000
16297.413,1641196800000
16241.232,1641197700000
16300.536,1641198600000
16318.188,1641199500000
16329.066,1641200400000
16348.79,1641201300000
16336.527,1641202200000
16378.685,1641203100000
16386.185,1641204000000
16157.766,1641204900000
16181.538,1641205800000
16149.055,1641206700000
16162.541,1641207600000
16176.181,1641208500000
16079.054,1641209400000
15994.708,1641210300000
15962.229,1641211200000
16232.331,1641212100000
16139.844,1641213000000
16016.377,1641213900000
15923.549,1641214800000
16037.942,1641215700000
16158.559,1641216600000
16167.179,1641217500000
16153.644,1641218400000
16006.542,1641219300000
16061.272,1641220200000
16165.161,1641221100000
16372.652,1641222000000
16517.593,1641222900000
16602.15199999,1641223800000
16607.353,1641224700000
16541.247,1641225600000
16662.542,1641226500000
16627.163,1641227400000
16833.393,1641228300000
16958.835,1641229200000
16959.026,1641230100000
16844.946,1641231000000
16909.989,1641231900000
16903.645,1641232800000
16907.686,1641233700000
16920.835,1641234600000
16863.34899999,1641235500000
16881.983,1641236400000
16828.069,1641237300000
16848.486,1641238200000
16935.013,1641239100000
16803.086,1641240000000
16985.864,1641240900000
16857.74399999,1641241800000
17221.782,1641242700000
17406.92099999,1641243600000
17458.122,1641244500000
17529.03,1641245400000
17228.519,1641246300000
17237.949,1641247200000
17338.056,1641248100000
17349.752,1641249000000
17395.84,1641249900000
17289.398,1641250800000
17258.602,1641251700000
17255.432,1641252600000
17233.472,1641253500000
17275.287,1641254400000
17219.83,1641255300000
17133.806,1641256200000
17245.394,1641257100000
17281.158,1641258000000
17293.286,1641258900000
17340.997,1641259800000
17374.201,1641260700000
17456.659,1641261600000
17411.554,1641262500000
17505.33299999,1641263400000
17466.711,1641264300000
17500.95599999,1641265200000
17472.733,1641266100000
17533.663,1641267000000
17452.657,1641267900000
17490.51099999,1641268800000
17561.43,1641269700000
17525.04599999,1641270600000
17434.15299999,1641271500000
17505.308,1641272400000
17531.132,1641273300000
17493.473,1641274200000
17448.936,1641275100000
17505.746,1641276000000
17518.937,1641276900000
17497.834,1641277800000
17523.021,1641278700000
17486.42099999,1641279600000
17460.95699999,1641280500000
17359.323,1641281400000
17373.163,1641282300000
17407.13399999,1641283200000
17318.502,1641284100000
17276.769,1641285000000
17314.09,1641285900000
17252.169,1641286800000
17192.877,1641287700000
17183.174,1641288600000
17196.183,1641289500000
17254.263,1641290400000
17269.531,1641291300000
17083.81,1641292200000
17023.77899999,1641293100000
17144.507,1641294000000
17276.258,1641294900000
17409.889,1641295800000
17393.821,1641296700000
17461.755,1641297600000
17470.00899999,1641298500000
17423.234,1641299400000
17300.736,1641300300000
17267.991,1641301200000
17214.878,1641302100000
17296.967,1641303000000
17525.84899999,1641303900000
17359.968,1641304800000
17533.721,1641305700000
17374.08099999,1641306600000
17297.487,1641307500000
17374.736,1641308400000
17384.95699999,1641309300000
17410.361,1641310200000
17128.40399999,1641311100000
17046.88499999,1641312000000
17054.812,1641312900000
17004.913,1641313800000
17005.198,1641314700000
16902.168,1641315600000
16858.518,1641316500000
16662.776,1641317400000
16604.146,1641318300000
16288.16,1641319200000
16350.731,1641320100000
16221.029,1641321000000
15667.129,1641321900000
15704.991,1641322800000
15555.317,1641323700000
15536.496,1641324600000
15511.216,1641325500000
15614.699,1641326400000
15501.918,1641327300000
15492.543,1641328200000
15515.827,1641329100000
15500.368,1641330000000
15496.75,1641330900000
15466.183,1641331800000
15448.528,1641332700000
15456.952,1641333600000
15518.063,1641334500000
15577.106,1641335400000
15577.858,1641336300000
15714.125,1641337200000
15719.261,1641338100000
15819.118,1641339000000
15897.067,1641339900000
15976.977,1641340800000
16208.448,1641341700000
16231.888,1641342600000
16172.711,1641343500000
16154.245,1641344400000
16205.742,1641345300000
16183.121,1641346200000
16107.068,1641347100000
16205.443,1641348000000
16185.6,1641348900000
16290.608,1641349800000
16302.904,1641350700000
16312.133,1641351600000
16342.763,1641352500000
16282.514,1641353400000
16292.851,1641354300000
16284.502,1641355200000
16261.563,1641356100000
16270.031,1641357000000
16279.624,1641357900000
16273.585,1641358800000
16299.61,1641359700000
16271.601,1641360600000
16276.798,1641361500000
16309.297,1641362400000
16259.183,1641363300000
16316.208,1641364200000
16271.794,1641365100000
16242.317,1641366000000
16260.842,1641366900000
16265.927,1641367800000
16231.077,1641368700000
16229.997,1641369600000
16231.662,1641370500000
16266.584,1641371400000
16190.802,1641372300000
16218.259,1641373200000
16301.341,1641374100000
16215.729,1641375000000
16251.915,1641375900000
16314.247,1641376800000
16358.673,1641377700000
16283.125,1641378600000
16373.678,1641379500000
16482.801,1641380400000
16393.432,1641381300000
16395.307,1641382200000
16264.898,1641383100000
16329.062,1641384000000
16359.222,1641384900000
16218.933,1641385800000
16318.605,1641386700000
16434.47599999,1641387600000
16320.254,1641388500000
16323.884,1641389400000
16257.185,1641390300000
16290.393,1641391200000
16324.793,1641392100000
16310.159,1641393000000
16110.056,1641393900000
16313.573,1641394800000
16485.508,1641395700000
16532.06299999,1641396600000
16462.222,1641397500000
16457.88499999,1641398400000
16404.07,1641399300000
16432.256,1641400200000
16431.847,1641401100000
16478.81,1641402000000
16409.784,1641402900000
16437.039,1641403800000
16331.605,1641404700000
16283.607,1641405600000
16152.476,1641406500000
16736.379,1641407400000
16579.519,1641408300000
16536.989,1641409200000
16482.004,1641410100000
16748.888,1641411000000
16791.462,1641411900000
16076.486,1641412800000
15661.728,1641413700000
15744.898,1641414600000
15872.276,1641415500000
16165.673,1641416400000
16227.971,1641417300000
16345.25,1641418200000
